kind	id	version	sha256	local_audit_path	release_path	public_locator	state	corpus_id	arm_id	system_id	note
corpus_manifest	py_nosphinx	2026-09-09	c47c62c0f094f7306bcc9d2e0ec4392a7f68a3df3420a5d79a01baca13a01df8	tokens-to-gold/runs/recert-2026-09/v2-gfy-py-0909b/out/py_nosphinx.manifest.jsonl	corpus-manifests/py_nosphinx.manifest.jsonl	-	verified	py_nosphinx	-	-	Per-instance repository and base-commit identities
corpus_manifest	ts40	2026-09-09	898604e399242c01629aded14a0aa670a4d5aab45a9995ed1d8896c4f70b0995	tokens-to-gold/runs/recert-2026-09/v2-gfy-tgr-0909/out/ts40.manifest.jsonl	corpus-manifests/ts40.manifest.jsonl	-	verified	ts40	-	-	Per-instance repository and base-commit identities
corpus_manifest	go34	2026-09-09	4717a04ac9b72a2704ef1f6190d892f176856b4daec1d6aa8c13d293730f3d30	tokens-to-gold/runs/recert-2026-09/v2-gfy-tgr-0909/out/go34.manifest.jsonl	corpus-manifests/go34.manifest.jsonl	-	verified	go34	-	-	Per-instance repository and base-commit identities
corpus_manifest	rust43	2026-09-09	0fbe0729ebb5d4e0f4d04435d2a6625a41c3958b9a38a8e7b61d2795755f321a	tokens-to-gold/runs/recert-2026-09/v2-gfy-tgr-0909/out/rust43.manifest.jsonl	corpus-manifests/rust43.manifest.jsonl	-	verified	rust43	-	-	Per-instance repository and base-commit identities
report	py-native-floor	2026-09-09	922641508b1caf4b7fbbb7c3c0a439c0605c8cbea4e953678660580bbacf3855	tokens-to-gold/runs/recert-2026-09/v2-gfy-py-0909b/run/reports/native_floor_py_nosphinx.json	reports/native_floor_py_nosphinx.json	-	verified	py_nosphinx	native_floor	native	Per-instance rows; raw aggregate fields are not numeric authority
report	py-nbx-shipped	2026-09-09	0463d080ab9656a1a8e47fbf6e1ef6ee7981e3845523460f1e6fc1764fb19b2a	tokens-to-gold/runs/recert-2026-09/v2-gfy-py-0909b/run/reports/shipped_treatment_py_nosphinx.json	reports/shipped_treatment_py_nosphinx.json	-	verified	py_nosphinx	nbx_shipped	nbx	Per-instance rows; raw aggregate fields are not numeric authority
report	py-graphify-32k	2026-09-09	c8d99fee8ce5c5bb298c1c0dcf381c617096284dce3e70afa3b0c05e5d9233f8	tokens-to-gold/runs/recert-2026-09/v2-gfy-py-0909b/run/reports/graphify_py_nosphinx_32k.json	reports/graphify_py_nosphinx_32k.json	-	verified	py_nosphinx	graphify_32k	graphify	Per-instance Graphify results
report	py-graphify-2k	2026-09-09	81dfa96974bb797efbc88b4089181717d146fd874e237118fe4efa10aaabf6a1	tokens-to-gold/runs/recert-2026-09/v2-gfy-py-0909b/run/reports/graphify_py_nosphinx_2k.json	reports/graphify_py_nosphinx_2k.json	-	verified	py_nosphinx	graphify_default	graphify	Per-instance Graphify results
report	ts-native-floor	2026-09-09	ef53786171843f2636be40a58e17cc6f4f98f37a469a6ac2e2685f0e56d82bfa	tokens-to-gold/runs/recert-2026-09/v2-gfy-tgr-0909/run/reports/native_floor_ts40.json	reports/native_floor_ts40.json	-	verified	ts40	native_floor	native	Per-instance rows; raw aggregate fields are not numeric authority
report	ts-nbx-shipped	2026-09-09	70e477e07b6fb75ef30480fb00b5a31502ada12eeaecdbb398f6739e9a2678e4	tokens-to-gold/runs/recert-2026-09/v2-gfy-tgr-0909/run/reports/shipped_treatment_ts40.json	reports/shipped_treatment_ts40.json	-	verified	ts40	nbx_shipped	nbx	Per-instance rows; raw aggregate fields are not numeric authority
report	ts-graphify-32k	2026-09-09	5ada7288ec0084f98b7eb2e6600cb1414fec866f829b5a959a387410548806e7	tokens-to-gold/runs/recert-2026-09/v2-gfy-tgr-0909/run/reports/graphify_ts40_32k.json	reports/graphify_ts40_32k.json	-	verified	ts40	graphify_32k	graphify	Per-instance Graphify results
report	ts-graphify-2k	2026-09-09	8d68d1d448c3f9b66087b7f84967e9ebf3888d362f0921068370c20d01dba386	tokens-to-gold/runs/recert-2026-09/v2-gfy-tgr-0909/run/reports/graphify_ts40_2k.json	reports/graphify_ts40_2k.json	-	verified	ts40	graphify_default	graphify	Per-instance Graphify results
report	go-native-floor	2026-09-09	ba0abf2286bd3be057083b6d15b86e790540ee1caab5ac2a4b919f1d59ba9827	tokens-to-gold/runs/recert-2026-09/v2-gfy-tgr-0909/run/reports/native_floor_go34.json	reports/native_floor_go34.json	-	verified	go34	native_floor	native	Per-instance rows; raw aggregate fields are not numeric authority
report	go-nbx-shipped	2026-09-09	748cfd4d02fece6ab6791f026d9a5d49ce5d3d81769a3e929475e3ebb0061331	tokens-to-gold/runs/recert-2026-09/v2-gfy-tgr-0909/run/reports/shipped_treatment_go34.json	reports/shipped_treatment_go34.json	-	verified	go34	nbx_shipped	nbx	Per-instance rows; raw aggregate fields are not numeric authority
report	go-graphify-32k	2026-09-09	f695a6c32e497c032bf00c432b957d7d1a17d8bed17497b27c0133dd43ef6008	tokens-to-gold/runs/recert-2026-09/v2-gfy-tgr-0909/run/reports/graphify_go34_32k.json	reports/graphify_go34_32k.json	-	verified	go34	graphify_32k	graphify	Per-instance Graphify results
report	go-graphify-2k	2026-09-09	16938082c784dabf2f65022c6cc56314eb37bf1b1e6b016b45c8ce6bfebd8ef6	tokens-to-gold/runs/recert-2026-09/v2-gfy-tgr-0909/run/reports/graphify_go34_2k.json	reports/graphify_go34_2k.json	-	verified	go34	graphify_default	graphify	Per-instance Graphify results
report	rust-native-floor	2026-09-09	e9cec0819e15ca28897e2f51af37ade5e3e25b78efb0e48b947831fdfba06a28	tokens-to-gold/runs/recert-2026-09/v2-gfy-tgr-0909/run/reports/native_floor_rust43.json	reports/native_floor_rust43.json	-	verified	rust43	native_floor	native	Per-instance rows over frozen N40
report	rust-nbx-shipped	2026-09-09	a851dd9843fd5abf80ff2b0f2d184940ef9db3d4898fb04ef7409b9a763719b4	tokens-to-gold/runs/recert-2026-09/v2-gfy-tgr-0909/run/reports/shipped_treatment_rust43.json	reports/shipped_treatment_rust43.json	-	verified	rust43	nbx_shipped	nbx	Per-instance rows over frozen N40
report	rust-graphify-32k	2026-09-09	3242a8cebdc49441860307682072eddabf862be7d077b4d9a0f1dc7696495ea5	tokens-to-gold/runs/recert-2026-09/v2-gfy-tgr-0909/run/reports/graphify_rust43_32k.json	reports/graphify_rust43_32k.json	-	verified	rust43	graphify_32k	graphify	Nonmatched N34 failure subset
report	rust-graphify-2k	2026-09-09	c1037440067ce1b461cedf13f81ce2ce1c9df2712b6fa7288bbc702d27309f72	tokens-to-gold/runs/recert-2026-09/v2-gfy-tgr-0909/run/reports/graphify_rust43_2k.json	reports/graphify_rust43_2k.json	-	verified	rust43	graphify_default	graphify	Nonmatched N34 failure subset
report_manifest	py-native-floor-manifest	2026-09-09	06c3dacce4749c51666e765b2479364c600128a4b7cb08511fa54902d8363528	tokens-to-gold/runs/recert-2026-09/v2-gfy-py-0909b/run/reports/native_floor_py_nosphinx.manifest.txt	report-manifests/native_floor_py_nosphinx.manifest.txt	-	verified	py_nosphinx	native_floor	native	Exact command and binary identity
report_manifest	py-nbx-shipped-manifest	2026-09-09	4097bbbe29dbef322502bc998fdbc0e56364d9c26684cc61fd4b5fa8ab5bab6e	tokens-to-gold/runs/recert-2026-09/v2-gfy-py-0909b/run/reports/shipped_treatment_py_nosphinx.manifest.txt	report-manifests/shipped_treatment_py_nosphinx.manifest.txt	-	verified	py_nosphinx	nbx_shipped	nbx	Exact command and binary identity
report_manifest	ts-native-floor-manifest	2026-09-09	25d3086d3c4a81b4ae137dc3c171fa0a320a5144a9ffc0a0135178c9a2307aeb	tokens-to-gold/runs/recert-2026-09/v2-gfy-tgr-0909/run/reports/native_floor_ts40.manifest.txt	report-manifests/native_floor_ts40.manifest.txt	-	verified	ts40	native_floor	native	Exact command and binary identity
report_manifest	ts-nbx-shipped-manifest	2026-09-09	cd375b161c2294ed4a9cd62716b53ca85b08dc166534a333f6ec4c4f7b8a1a63	tokens-to-gold/runs/recert-2026-09/v2-gfy-tgr-0909/run/reports/shipped_treatment_ts40.manifest.txt	report-manifests/shipped_treatment_ts40.manifest.txt	-	verified	ts40	nbx_shipped	nbx	Exact command and binary identity
report_manifest	go-native-floor-manifest	2026-09-09	b9b3e5aa39416fb3b3ac1d79aa7ee60bf53d9ff97aa9496fd2252fc832912428	tokens-to-gold/runs/recert-2026-09/v2-gfy-tgr-0909/run/reports/native_floor_go34.manifest.txt	report-manifests/native_floor_go34.manifest.txt	-	verified	go34	native_floor	native	Exact command and binary identity
report_manifest	go-nbx-shipped-manifest	2026-09-09	a151bfa50eee94b6be6fff1c9a94d0ed82f3b9b29becf7b8d43a9fd412bcd4c5	tokens-to-gold/runs/recert-2026-09/v2-gfy-tgr-0909/run/reports/shipped_treatment_go34.manifest.txt	report-manifests/shipped_treatment_go34.manifest.txt	-	verified	go34	nbx_shipped	nbx	Exact command and binary identity
report_manifest	rust-native-floor-manifest	2026-09-09	ae7b2708a23b9150ea7d03c8c0a6840cfc89e06586d049d5c20f44610e0204f9	tokens-to-gold/runs/recert-2026-09/v2-gfy-tgr-0909/run/reports/native_floor_rust43.manifest.txt	report-manifests/native_floor_rust43.manifest.txt	-	verified	rust43	native_floor	native	Exact command and binary identity
report_manifest	rust-nbx-shipped-manifest	2026-09-09	005b86d28d4eb3a8ae16bf156add29a2f062c17b33a542d2d20f6664ad4ee6bf	tokens-to-gold/runs/recert-2026-09/v2-gfy-tgr-0909/run/reports/shipped_treatment_rust43.manifest.txt	report-manifests/shipped_treatment_rust43.manifest.txt	-	verified	rust43	nbx_shipped	nbx	Exact command and binary identity
